affiliation	count
Voltaire [François Marie Arouet]	561
Gabrielle Émilie Le Tonnelier de Breteuil	56
marquise Du Châtelet-Lomont	56
Marie Louise Denis	29
Françoise Paule Huguet de Graffigny	21
Pierre Michel Hennin	17
Jean Baptiste Nicolas Formont	14
Amélie Suard	11
Marie Anne de Vichy-Chamrond	11
marquise Du Deffand	11
king of Prussia	11
Frederick II	11
Jean Louis Wagnière	7
Paul Claude Moultou	7
baron de Montfalcon	6
Charles de Brosses	6
Pierre Robert Le Cornier de Cideville	5
Alexis Piron	5
Nicolas Claude Thieriot	4
Michel Linant	4
Françoise Charlotte Constant de Rebecque	4
Louise Suzanne Gallatin	4
Nicolas René Berryer de Ravenoville	4
Jean Le Rond d'Alembert	4
marquis d'Argenson	4
René Louis de Voyer de Paulmy	4
Graf Otto Christoph von Podewils	4
comte d'Argental	3
Charles Augustin Feriol	3
Sébastien Dupont	3
Emmanuel Bernoulli	3
marquise d'Épinay	3
Louise Florence Pétronille La Live	3
Pierre Joseph Thoulier d'Olivet	3
Joseph d'Hémery	3
François Tronchin	3
Théodore Tronchin	3
Jean Louis Dupan	3
Catherine II	3
czarina of Russia	3
Franz Varrentrapp	2
margravine of Bayreuth	2
Sophia Friderika Wilhelmina von Preussen	2
Jean Baptiste Rousseau	2
Jean Baptiste Nicolas de Lisle	2
Jean Jacques Amelot de Chaillou	2
André Morellet	2
comtesse d'Argental	2
Jeanne Grâce Bosc Du Bouchet	2
Pierre Paul Sirven	2
Marie Dagobert Ysabeau	2
[unknown]	2
Étienne Jean de Guimard des Rocheretz	2
baron de Montpéroux	2
Jean Charles Pierre Le Noir	2
René Hérault	2
Gabriel Cramer	2
Claude Henri Feydeau	2
comte de Marville	2
Jean Huber	2
Louis Mannory	2
Cosimo Alessandro Collini	2
Henri Lambert d'Herbigny	2
marquis de Thibouville	2
François Joachim de Pierres	2
cardinal de Bernis	2
François Louis Allamand	2
François Louis Claude Marin	2
marquis Du Plessis-Villette	2
Charles Michel de Villette	2
duc de Choiseul	1
Étienne François de Choiseul-Stainville	1
Joseph Marie Balleydier	1
Pierre Hugonet	1
— Varin	1
Nicolas Charles Joseph Trublet	1
Anne Marguerite Feydeau	1
— Vanneroux	1
marquise de Pompadour	1
