affiliation	count
Voltaire [François Marie Arouet]	222
Frederick II	7
Count Ivan Ivanovich Shuvalov	7
king of Prussia	6
Jean Le Rond d'Alembert	4
Marie Anne de Vichy-Chamrond	4
marquise Du Deffand	4
François Joachim de Pierres	3
cardinal de Bernis	3
Chrétien Guillaume de Lamoignon de Malesherbes	3
Nicolas Claude Thieriot	3
Elector Palatine	3
Charles Theodore von Sulzbach	3
Jacob Vernet	2
Sébastien Dupont	2
Joseph Audra	2
Louis Phélypeaux	1
duc de La Vrillière	1
Jean Jacques Dortous de Mairan	1
Saverio Bettinelli	1
Gabriel Cramer	1
Gräfin Sabina von Bassewitz	1
Count Aleksandr Gavrilovich Golovkin	1
Graf Johann Hartwig Ernst von Bernstorff	1
Nicolas Charles Joseph Trublet	1
Nicolas René Berryer de Ravenoville	1
4th earl of Chesterfield	1
Philip Dormer Stanhope	1
Jean Baptiste Claude Delisle de Sales	1
Pierre Robert Le Cornier de Cideville	1
Jean Baptiste Dubos	1
Albrecht Friedrich von Erlach	1
Pierre Louis Moreau de Maupertuis	1
Louise Honorine Crozat Du Châtel	1
duchesse de Choiseul	1
Gabriel Henri Gaillard	1
[unknown]	1
Charles Irénée Castel	1
abbé de Saint-Pierre	1
marquis de Morangles	1
René Nicolas Charles Augustin de Maupeou	1
Laurent Angliviel de La Beaumelle	1
Cosimo Alessandro Collini	1
Charles Guillaume Loys de Bochat	1
Achille Pierre Dionis Du Séjour	1
Michel Lambert	1
François Pierre Pictet	1
Marc Duval	1
— de Valbene	1
landgrave of Hesse-Cassel	1
Paul Philippe Gudin de La Brenellerie	1
Jean Moreau de Séchelles	1
marquis Du Plessis-Villette	1
Charles Michel de Villette	1
Étienne Noël Damilaville	1
Jacques Mallet Du Pan	1
comte d'Argenson	1
Marc Pierre de Voyer de Paulmy	1
Henri Louis Lekain	1
— Maigrot	1
Anne Charles de Lorry	1
conte Francesco Algarotti	1
Charles Jean François Hénault	1
Jean Huber	1
