affiliation	count
Voltaire [François Marie Arouet]	190
king of Prussia	40
Frederick II	40
Catherine II	40
czarina of Russia	40
Louisa Dorothea von Meiningen	11
duchess of Saxe-Gotha	11
duc de Choiseul	9
Étienne François de Choiseul-Stainville	9
margravine of Bayreuth	5
Sophia Friderika Wilhelmina von Preussen	5
Élie Bertrand	3
François Joachim de Pierres	2
cardinal de Bernis	2
Willem van Haren	2
Elector Palatine	2
Charles Theodore von Sulzbach	2
Pierre Robert Le Cornier de Cideville	2
Pierre Michel Hennin	2
Gräfin Sabina von Bassewitz	2
Louis François Armand Du Plessis	2
duc de Richelieu	2
Trophime Gérard de Lally-Tolendal	1
— Popinet	1
Nicolas Claude Thieriot	1
Frans Arnold Adriaan Jan van Hoensbroeck	1
markies van Hoensbroeck	1
— de Chargey	1
Count Boris Mikhailovich Saltykov	1
Gabrielle Émilie Le Tonnelier de Breteuil	1
marquise Du Châtelet-Lomont	1
Jean Baptiste Joseph Damarzit de Sahuguet	1
baron d'Espagnac	1
Cosimo Alessandro Collini	1
Jean Ribote-Charron	1
prince de Soubise	1
Charles de Rohan	1
François Louis Allamand	1
François Louis Claude Marin	1
Théodore Tronchin	1
Jacques François Paul Aldonce de Sade	1
Louis de Jaucourt	1
Jacques Vincent Delacroix	1
Pierre Jean Bourcet de La Saigne	1
K. Daniel	1
Count Ivan Ivanovich Shuvalov	1
marquis de Condorcet	1
Marie Jean Antoine Nicolas de Caritat	1
Count Andrei Petrovich Shuvalov	1
Jean Jacques Dortous de Mairan	1
Laurent Angliviel de La Beaumelle	1
André Bandeuil	1
chevalier de Fautras	1
D.	1
Alexis Piron	1
Jean François Marmontel	1
[unknown]	1
