affiliation	count
Voltaire [François Marie Arouet]	457
Jean Louis Wagnière	9
Gabrielle Émilie Le Tonnelier de Breteuil	7
marquise Du Châtelet-Lomont	7
Jean de Vaines	4
Henri Léonard Jean Baptiste Bertin	4
François Louis Claude Marin	3
Pierre Michel Hennin	3
François Rigollet	2
Marie Anne de Vichy-Chamrond	2
marquise Du Deffand	2
Barthélemy Chirol	2
Nicolas Claude Thieriot	2
Matvei Matveevich von Ekk	2
Baron Reinhard von Gemmingen	1
János Fekete	1
count of Galànta	1
duc de Nivernais	1
Louis Jules Barbon Mancini-Mazarini	1
comte d'Argenson	1
Marc Pierre de Voyer de Paulmy	1
Louise Honorine Crozat Du Châtel	1
duchesse de Choiseul	1
comte d'Argental	1
Charles Augustin Feriol	1
Cosimo Alessandro Collini	1
Prince Dimitri Mikhailovich Galitzin	1
Jean Rigail	1
marquis de Condorcet	1
Marie Jean Antoine Nicolas de Caritat	1
Louisa Ulrica	1
queen of Sweden	1
François Louis Defresnay	1
Jean Baptiste Claude Delisle de Sales	1
Count Ivan Ivanovich Shuvalov	1
Catherine II	1
czarina of Russia	1
Anne Marguerite Feydeau	1
Marguerite Jeanne de Staal	1
baronne de Staal	1
king of Prussia	1
Frederick II	1
Anne Robert Jacques Turgot	1
Guillaume Joseph Dupleix de Bacquencourt	1
François Marie de Marsy	1
Charles Henry Chrétien Rosé	1
duc de La Vallière	1
Louis César de La Baume Le Blanc	1
Charles Nicolas de La Touche	1
Johann Erasmus von Senckenberg	1
Jean Le Rond d'Alembert	1
Société typographique de Neuchâtel	1
Prince Aleksandr Romanovich Vorontsov	1
Joseph Audra	1
François Pierre Pictet	1
[unknown]	1
Pierre Alexandre Du Peyrou	1
Jacob Vernet	1
