affiliation	count
Voltaire [François Marie Arouet]	218
king of Prussia	86
Frederick II	86
Pierre Robert Le Cornier de Cideville	18
Marie Anne de Vichy-Chamrond	13
marquise Du Deffand	13
François Joachim de Pierres	6
cardinal de Bernis	6
Jean Baptiste Nicolas Formont	5
Louise Suzanne Necker	5
conte Francesco Algarotti	4
Jean Baptiste Rousseau	4
Saverio Bettinelli	3
Jean Marie Bernard Clément	3
Luc de Clapiers	3
marquis de Vauvenargues	3
Sébastien Dupont	3
marchese Francesco Albergati Capacelli	3
Nicolas Claude Thieriot	3
Paul Desforges-Maillard	3
János Fekete	3
count of Galànta	3
Michel Linant	3
[unknown]	3
François Thomas Marie de Baculard d'Arnaud	3
Pierre Alexandre Lévesque de La Ravalière	2
Denis Diderot	2
Henri Louis Lekain	2
Marie Anne Henriette Payan de Lestang	2
marquise d'Antremont	2
G. L. Deodati de Tovazzi	2
Pierre Joseph Thoulier d'Olivet	2
Anne Robert Jacques Turgot	2
Jean François de La Harpe	2
marquis de Condorcet	2
Marie Jean Antoine Nicolas de Caritat	2
Jean Jacques Rousseau	2
Pierre François Guyot Desfontaines	2
Pierre Laurent Buirette de Belloy	2
Gabrielle Émilie Le Tonnelier de Breteuil	2
marquise Du Châtelet-Lomont	2
Charles Jean François Hénault	2
François Tronchin	2
Étienne Maurice Falconet	2
Jean Benjamin de Laborde	2
Graf Dietrich von Keyserlingk	2
Count Andrei Petrovich Shuvalov	2
René de Bonneval	1
Pierre Toussaint Masson	1
Nicolas Anne Lefèvre de La Faluère	1
Jean Baptiste Milliet	1
Graf Ernst Christof von Manteuffel	1
— Gourdon de Bacq	1
David Garrick	1
René Charles Pitot de Launay	1
Ignace Frédéric de Mirbeck	1
Marc Michel Bousquet	1
Giovanni Marenzi	1
François Louis Allamand	1
Jean Frédéric Phélypeaux	1
comte de Maurepas	1
baron de Montfalcon	1
Charles de Brosses	1
Claude Parfaict	1
Vincenz Bernhard Tscharner	1
marquis de Cubières	1
Simon Louis Pierre de Cubières	1
Jean Bouhier	1
Jean Baptiste Rigondet de Rozet	1
Ivan Ivanovich Betzky	1
Chrétien Guillaume de Lamoignon de Malesherbes	1
Joseph François Edouard de Corsembleu Desmahis	1
— Troussel	1
Hugues Maret	1
— La Montaigne	1
Louis Claude Le Clerc	1
Mlle — de Berisy	1
Louis Bollioud-Mermet	1
Pierre Louis d'Aquin de Château-Lyon	1
Giuseppe Maria Galanti	1
Alexis Piron	1
Antonio Cocchi	1
Claude Brossette	1
— Favières	1
Élie Catherine Fréron	1
Paul Claude Moultou	1
Andrea Querini	1
duc de La Vallière	1
Louis César de La Baume Le Blanc	1
Adrien Michel Hyacinthe Blin de Sainmore	1
Pierre Louis Moline	1
Philippe Néricault Destouches	1
countess of Bentinck	1
Charlotte Sophia van Aldenburg	1
Bernard Joseph Saurin	1
Désiré René de La Villéon	1
Jean Joseph Rossignol	1
Charles Antoine Leclerc de La Bruyère	1
Madeleine d'Arsant de Puisieux	1
Jean Sylvain Bailly	1
Michel de Cubières-Palmézeaux	1
Antoine Yart	1
Jacques Antoine Hippolyte de Guibert	1
comte de Guibert	1
Antoine Vicaire	1
Johann Rudolf Frey	1
Jean Le Rond d'Alembert	1
duc de Noailles	1
Louis de Noailles	1
prince-archbishop of Poland and Lithuania	1
Gabriel Podoski	1
Mathurin Veyssière de La Croze	1
Charlotte Philippina von Preussen	1
duchess of Brunswick-Wolfenbüttel	1
Jean Clauseau	1
Friedrich Valentin Molter	1
Matthew Maty	1
Louis Antoine de Caraccioli	1
Louisa Dorothea von Meiningen	1
duchess of Saxe-Gotha	1
Jean Jacques Bel	1
Jacques Marie Boutet de Monvel	1
Catherine II	1
czarina of Russia	1
Girolamo Gastaldi	1
Graf Franz von Freytag	1
Charles Palissot de Montenoy	1
Étienne de La Montagne	1
Jean François Veillon	1
Claude Henri de Fuzée de Voisenon	1
Alexandre Frédéric Jacques Masson	1
marquis de Pezay	1
— Du Touchet	1
Cardinal Domenico Passionei	1
Edward Mason	1
Pierre Samuel Du Pont de Nemours	1
Jean Fontaine-Malherbe	1
duc de Choiseul	1
Étienne François de Choiseul-Stainville	1
Louise Honorine Crozat Du Châtel	1
duchesse de Choiseul	1
Jean Gabriel Montaudouin de La Touche	1
Jean Baptiste Claude Delisle de Sales	1
Jean Baptiste Pigalle	1
Joseph Vasselier	1
Louisa Ulrica	1
queen of Sweden	1
Louis Desormeaux	1
Gottfried Christian Freiesleben	1
Jean Louis Aubert	1
baron de Juilly	1
Bernard Joseph de Thomassin	1
Charles Manoël de Végobre	1
Jean Bernard Le Blanc	1
Jean Pierre de Crousaz	1
Mrs — Pechell	1
Elector Palatine	1
Charles Theodore von Sulzbach	1
Claude Joseph Dorat	1
M. — Moniseau	1
Étienne Mignot de Montigny	1
marquis de Saint-Lambert	1
Jean François de Saint-Lambert	1
— Courtial	1
Louis Paul Abeille	1
Thémiseul de Saint-Hyacinthe	1
André Hyacinthe Sabatier	1
Dominique Audibert	1
Melchiorre Cesarotti	1
seigneur de Correvon	1
Gabriel de Seigneux	1
Jean François Marmontel	1
Simon Nicolas Henri Linguet	1
Marie Joseph Blaise Chénier	1
comtesse Du Barry	1
Marie Jeanne Bécu	1
— de Chaumareys	1
Société typographique de Neuchâtel	1
Giuseppe Pezzana	1
