affiliation	count
Voltaire [François Marie Arouet]	164
Graf Franz von Freytag	10
Jean Le Rond d'Alembert	6
king of Prussia	6
Frederick II	6
Johann Jacob Difenbach	5
duke of Württemberg	4
Charles Eugene von Württemberg	4
Johann Carl von Fichard	3
Catherine II	2
czarina of Russia	2
Michael Gabriel von Fredersdorff	2
Pierre Michel Hennin	2
marquis de Condorcet	2
Marie Jean Antoine Nicolas de Caritat	2
D. Textor	2
Baron Heinrich Anton von Beckers	2
Venerable council of Frankfurt am Main	1
Jean de Türckheim	1
Robert Scipio von Lentulus	1
Graf Johann Baptist Anton von Pergen	1
Dorothee Henriette von Runckel	1
Jean Frédéric Phélypeaux	1
comte de Maurepas	1
Count Friedrich Leopold zu Stolberg	1
Johann Peter Horn	1
Joseph d'Hémery	1
J. A. Dorn	1
Louise Honorine Crozat Du Châtel	1
duchesse de Choiseul	1
Andreas Bell	1
Louis Phélypeaux	1
marquis de La Vrillière	1
Graf Samuel von Cocceji	1
Elector Palatine	1
Charles Theodore von Sulzbach	1
Louise Adelgunde Gottsched	1
E. L. Ziegler	1
3rd earl of Peterborough	1
Charles Mordaunt	1
Johann Friedrich Schmidt	1
