affiliation	count
Voltaire [François Marie Arouet]	279
Gabrielle Émilie Le Tonnelier de Breteuil	39
marquise Du Châtelet-Lomont	39
marchese Francesco Albergati Capacelli	11
Jean Le Rond d'Alembert	11
Frederick II	9
king of Prussia	7
comte d'Argental	5
Charles Augustin Feriol	5
Marie Louise Denis	5
Marie Anne de Vichy-Chamrond	4
marquise Du Deffand	4
Jean Baptiste Nicolas Formont	4
Françoise Paule Huguet de Graffigny	4
Jean Louis Wagnière	3
Jean Louis Dupan	3
Théodore Tronchin	3
Pierre Robert Le Cornier de Cideville	2
landgrave of Hesse-Cassel	2
Claude Henri de Fuzée de Voisenon	2
marquis de Condorcet	2
Marie Jean Antoine Nicolas de Caritat	2
Graf Dietrich von Keyserlingk	2
Pierre Michel Hennin	2
Nicolas Théru	1
Jean Robert Tronchin	1
François Louis Claude Marin	1
Claude Pierre Patu	1
10th Earl Marischal	1
George Keith	1
Henri Lambert d'Herbigny	1
marquis de Thibouville	1
Charles Marie de La Condamine	1
Jeanne Louise Tronchin	1
Jean Jacques Rousseau	1
duke of Württemberg	1
Charles Eugene von Württemberg	1
Simon Bigex	1
Philibert Cramer	1
Claude Étienne Darget	1
comtesse de Turpin de Crissé	1
Elisabeth Marie Constance de Löwendahl	1
1st Viscount Bolingbroke	1
Henry St John	1
Pierre François Guyot Desfontaines	1
Philippe Néricault Destouches	1
Stanislas II	1
king of Poland	1
marquis d'Adhémar	1
Antoine Honneste de Monteil de Brunier	1
Sébastien Dupont	1
Jean Rousset de Missy	1
Charles Palissot de Montenoy	1
François Joachim de Pierres	1
cardinal de Bernis	1
Henri Gabriel Boutet de Montéry	1
Jean Frédéric Flachsland	1
Catherine II	1
czarina of Russia	1
Étienne Chiron	1
baron de Grandcour	1
Jean Louis Labat	1
Jean François Gamonet	1
Jacob Vernet	1
Jean Baptiste Nicolas de Lisle	1
Frederick William von Brandenburg	1
margrave of Bayreuth	1
Anne Robert Jacques Turgot	1
marquise de Prie	1
Jeanne Agnès Berthelot de Pléneuf	1
René Hérault	1
Prosper Marchand	1
Amélie Suard	1
George Keate	1
Pierre Laurent Buirette de Belloy	1
Antonio Guazzesi	1
Nicolas Charles Joseph Trublet	1
