affiliation	count
Voltaire [François Marie Arouet]	412
Louisa Dorothea von Meiningen	7
duchess of Saxe-Gotha	7
duke of Württemberg	6
Jean Le Rond d'Alembert	5
Pierre Michel Hennin	4
king of Prussia	3
Frederick II	3
Charles Eugene von Württemberg	3
duc de Praslin	3
César Gabriel de Choiseul	3
Louis Eugene von Württemberg	3
Sébastien Dupont	2
duc de La Vallière	2
Louis César de La Baume Le Blanc	2
Gabrielle Émilie Le Tonnelier de Breteuil	2
marquise Du Châtelet-Lomont	2
seigneur d'Hermenches	2
David Louis Constant de Rebecque	2
Nicolas Claude Thieriot	2
Marie Anne de Vichy-Chamrond	2
marquise Du Deffand	2
margravine of Bayreuth	1
Sophia Friderika Wilhelmina von Preussen	1
Paul Claude Moultou	1
Mathieu Marais	1
Antoine Raymond Jean Gualbert Gabriel de Sartine	1
comte d'Albi	1
Jean Louis Delorme	1
Jean Frédéric Phélypeaux	1
comte de Maurepas	1
marquise de Pompadour	1
Jeanne Antoinette Le Normant d'Etioles	1
Jean François Sellon	1
Claude Joully de Varenne	1
François Joachim de Pierres	1
cardinal de Bernis	1
René Hérault	1
Jean de Vaines	1
Christoph Heinrich von Ammon	1
Jean Jacques Rousseau	1
Venerable council of Frankfurt am Main	1
cardinal de Soubise	1
Armand de Rohan	1
Joseph d'Hémery	1
Jean Robert Tronchin	1
Théodore Tronchin	1
Pierre Joseph Thoulier d'Olivet	1
Charles Jean François Hénault	1
Francois Louis Cizeron-Rival	1
François Louis Jeanmaire	1
Marie Louise Denis	1
Salenne de Beauregard	1
Louis Antoine Sophie de Fronsac Vignerot Du Plessis	1
Élie Bertrand	1
Louis Hamoche	1
seigneur de Correvon	1
Gabriel de Seigneux	1
duc d'Aiguillon	1
Emmanuel Armand de Vignerod Du Plessis de Richelieu	1
marquis de La Charce	1
Philippe Antoine Gabriel Victor Charles de La Tour Du Pin	1
Casimir Pignatelli	1
comte d'Egmont-Pignatelli	1
Marie Dagobert Ysabeau	1
Jean Joseph de Laborde	1
Françoise Charlotte Constant de Rebecque	1
Jean Bernard Le Blanc	1
M. — Bazin	1
Charles de Fieux	1
chevalier de Mouhy	1
Jean François Du Bellay Du Resnel	1
Jean Baptiste Rousseau	1
