affiliation	count
Voltaire [François Marie Arouet]	271
king of Prussia	24
Frederick II	23
Pierre Robert Le Cornier de Cideville	12
Jean Le Rond d'Alembert	7
Jean Gal	4
duc de Choiseul	3
Étienne François de Choiseul-Stainville	3
évêque de Genève-Annecy	3
François Louis Allamand	3
prince de Ligne	3
Charles Joseph	3
Cosimo Alessandro Collini	2
marchese Francesco Albergati Capacelli	2
Jean Pierre Biord	2
Alexis Piron	2
conte Francesco Algarotti	2
François Joachim de Pierres	2
cardinal de Bernis	2
Louis Laurent Gaultier	2
Marie Anne de Vichy-Chamrond	2
marquise Du Deffand	2
Charles Marguerite Jean Baptiste Mercier Dupaty	1
Catherine II	1
czarina of Russia	1
Claude Philippe Fyot de La Marche	1
Joseph Michel Antoine Servan	1
Frederick William II	1
Anne Louise Élie de Beaumont	1
Marie Anne Henriette Payan de Lestang	1
marquise d'Antremont	1
Antoine Fournier	1
Gabriel Henri Gaillard	1
Charles Jean François Hénault	1
Graf Franz von Freytag	1
— Santis de Lagrange	1
abbé — Duminy	1
marquis de Condorcet	1
Marie Jean Antoine Nicolas de Caritat	1
— Du Buit	1
François Louis Claude Marin	1
Joseph Marie Balleydier	1
Guillaume Amfrye de Chaulieu	1
Louisa Dorothea von Meiningen	1
duchess of Saxe-Gotha	1
— Berger	1
Françoise Paule Huguet de Graffigny	1
— Dumoustier de La Fond	1
marquis d'Argenson	1
René Louis de Voyer de Paulmy	1
Étienne Maurice Falconet	1
Alexandre Jacques Bessin	1
Joseph Marie Borssat d'Hauterive	1
marquis Du Plessis-Villette	1
Charles Michel de Villette	1
Gottlob Louis von Schönberg	1
Reichsgraf von Schönberg	1
Jean Huber	1
Angelo Pavesi	1
Joseph Vasselier	1
comte de Bonneval	1
Claude Alexandre de Bonneval	1
Sophie Durey de Verven	1
Paul Claude Moultou	1
— Cambry de Kansquer	1
— Duval	1
Gabrielle Émilie Le Tonnelier de Breteuil	1
marquise Du Châtelet-Lomont	1
Jacques François Paul Aldonce de Sade	1
François Philibert Louzeau	1
Joseph Nicolas Deschamps de Chaumont	1
Beat Ludwig von May	1
François de Bussy	1
marquis d'Argence	1
François Achard Joumard Tison	1
Denis Diderot	1
Pierre Antoine de La Place	1
Jean Jacques Rousseau	1
Simon Nicolas Henri Linguet	1
Gustavus III	1
king of Sweden	1
Jean François de La Harpe	1
Charles Bonnet	1
T. Lysyeatt	1
