affiliation	count
Voltaire [François Marie Arouet]	76
king of Prussia	9
Frederick II	9
Pierre Michel Hennin	5
duc de Choiseul	3
Étienne François de Choiseul-Stainville	3
Gabrielle Émilie Le Tonnelier de Breteuil	2
marquise Du Châtelet-Lomont	2
François Louis Claude Marin	2
10th Earl Marischal	2
George Keith	2
Sir William Chambers	1
Paul Desforges-Maillard	1
Marc Duval	1
Jean François Desbruguières	1
Antoine Adam	1
Élisabeth Sophie de Lorraine	1
duchesse de Richelieu	1
M. B. Beauchamp	1
François Tronchin	1
Jean Pierre Le Resche	1
Michel Étienne David	1
comte d'Argental	1
Charles Augustin Feriol	1
Marie Louise Denis	1
Chrétien Guillaume de Lamoignon de Malesherbes	1
baron de Montfalcon	1
Charles de Brosses	1
Pierre Paul Sirven	1
Société typographique de Neuchâtel	1
