affiliation	count
Voltaire [François Marie Arouet]	275
king of Prussia	24
Frederick II	24
François Joachim de Pierres	4
cardinal de Bernis	4
Gabrielle Émilie Le Tonnelier de Breteuil	3
marquise Du Châtelet-Lomont	3
Pierre Michel Hennin	3
marquis de Condorcet	3
Marie Jean Antoine Nicolas de Caritat	3
Marie Louise Denis	2
Aaron Hill	2
conte Francesco Algarotti	2
prince de Ligne	2
Charles Joseph	2
évêque de Genève-Annecy	2
duc de Choiseul	2
Étienne François de Choiseul-Stainville	2
Jean Louis Wagnière	2
Pierre Robert Le Cornier de Cideville	2
Jean Le Rond d'Alembert	2
Gräfin Sabina von Bassewitz	1
baron de Grandcour	1
Jean Louis Labat	1
Jean Jacques Rousseau	1
Étienne La Font de Saint-Yenne	1
comte Nicolas Louis François de Neufchâteau	1
François Rigollet	1
comte d'Argenson	1
Marc Pierre de Voyer de Paulmy	1
Jean Pierre Biord	1
Louisa Dorothea von Meiningen	1
duchess of Saxe-Gotha	1
Paul Claude Moultou	1
Nicolas Claude Thieriot	1
Charles Jean François Hénault	1
Jean Robert Tronchin	1
Anne Marie Fiquet Du Boccage	1
James Marriott	1
Michel Paul Guy de Chabanon	1
Louis Nicolas Le Tonnelier de Breteuil	1
baron de Preuilly	1
marquis de Combrande	1
Antoine Jean Amelot de Chaillou	1
François Antoine Pierre Alliot	1
Claude Brossette	1
Louis de Laus de Boissy	1
Cosimo Alessandro Collini	1
Georges Louis Le Sage	1
fils	1
Guillaume Amfrye de Chaulieu	1
Alexandre d'Adhémar de Monteil de Brunier	1
comte de Marsanne	1
Jérémie Witel	1
Jean Louis Delorme	1
George Keate	1
Ponce Denis Ecouchard Lebrun	1
Jean Baptiste Nicolas Formont	1
vicomte de La Platière	1
Jean Marie Roland	1
Étienne Jules Gastebois Desnoyers	1
Benedict XIV	1
Antoine Yart	1
prince of Prussia	1
Henry	1
Pierre Rousseau	1
Jean Gal	1
Carlo Goldoni	1
William Hewett	1
Richard Rolt	1
Pierre Louis Moreau de Maupertuis	1
Bénédict André de Rodon	1
[unknown]	1
Horace Walpole	1
4th earl of Orford	1
Jean Baptiste de Boyer	1
marquis d'Argens	1
Madur Du Lac	1
Maria Anna Louisa Jablonowska	1
princesse de Talmont	1
Jean Baptiste Rousseau	1
Joseph Nicolas Deschamps de Chaumont	1
Jacques Antoine Hippolyte de Guibert	1
comte de Guibert	1
