affiliation	count
Voltaire [François Marie Arouet]	203
Gabrielle Émilie Le Tonnelier de Breteuil	11
marquise Du Châtelet-Lomont	11
Élie Catherine Fréron	7
Laurent Angliviel de La Beaumelle	6
Jean Pierre Le Resche	6
Jean Baptiste Rousseau	4
Chrétien Guillaume de Lamoignon de Malesherbes	4
— Seguy	4
évêque de Genève-Annecy	4
king of Prussia	3
Frederick II	3
Henri Du Sauzet	3
Nicolas Charles Joseph Trublet	3
Jean Le Rond d'Alembert	3
Jean Pierre Biord	3
Jacob Vernet	3
Marie Anne de Vichy-Chamrond	3
marquise Du Deffand	3
Pierre Alexandre Du Peyrou	2
marquis de Morangles	2
René Nicolas Charles Augustin de Maupeou	2
Jean Bernard Le Blanc	2
comte de Vergennes	2
Charles Gravier	2
comte d'Argental	2
Charles Augustin Feriol	2
comte d'Argenson	2
Marc Pierre de Voyer de Paulmy	2
marquis de Condorcet	2
Marie Jean Antoine Nicolas de Caritat	2
Baron Albrecht von Haller	2
Pierre Michel Hennin	2
François Joachim de Pierres	2
cardinal de Bernis	2
Jacques Emmanuel Roques de Maumont de La Rochefoucauld	2
Pierre Louis Moreau de Maupertuis	2
Jean Jacques Rousseau	2
Thémiseul de Saint-Hyacinthe	2
Étienne Louis Millet	2
Jean François de La Harpe	2
duc de Choiseul	1
Étienne François de Choiseul-Stainville	1
Marc Michel Rey	1
Pierre François Guyot Desfontaines	1
Ponce Denis Ecouchard Lebrun	1
duc de Praslin	1
César Gabriel de Choiseul	1
Claude Étienne Darget	1
Guillaume François de Bure	1
marquis Du Châtelet-Lomont	1
Florent Claude Du Châtelet	1
René Hérault	1
Willem Jacob 's Gravesande	1
Gabriel Cramer	1
Charles de Fieux	1
chevalier de Mouhy	1
Jean Omer Joly de Fleury	1
François Marie Coger	1
Claude Brossette	1
Charles Georges Le Roy	1
Michel Linant	1
Théodore Tronchin	1
king of Poland	1
Stanislas I	1
Charles Palissot de Montenoy	1
Jean Robert Tronchin	1
François Henri d'Ivernois	1
Joseph Marie Balleydier	1
marquis d'Argence	1
François Achard Joumard Tison	1
— La Fontaine	1
Jean Baptiste Antoine Suard	1
Jean François Bourgoing	1
Nicéphore Symphorien Daumart	1
Margaritha von May	1
Adrien Michel Hyacinthe Blin de Sainmore	1
marquis d'Argenson	1
René Louis de Voyer de Paulmy	1
— Lasséré	1
Trophime Gérard de Lally-Tolendal	1
Firmin Abauzit	1
Robert Brown	1
Nicolas Claude Thieriot	1
Abraham von Erlach von Riggisberg	1
Jean Baptiste de Boyer	1
marquis d'Argens	1
Marguerite Madeleine Du Moutier	1
marquise de Bernières	1
Étienne Jules Gastebois Desnoyers	1
Pierre de Taulès	1
M. — Saintard	1
Guillaume François Joly de Fleury	1
Jean Henri Samuel Formey	1
Charles Étienne Jordan	1
Alexandre d'Adhémar de Monteil de Brunier	1
comte de Marsanne	1
Nicolas René Pageau	1
M. — Mallet de La Brossière	1
Jean Frédéric Phélypeaux	1
comte de Maurepas	1
Pierre Charles Roy	1
chevalier de Ch.	1
Charles Emmanuel de Crussol	1
duc d'Uzès	1
Isaac de Pinto	1
David Lavaysse	1
Simon Nicolas Henri Linguet	1
Emmanuel Marie Louis de Noailles	1
marquis de Noailles	1
R.	1
Société typographique de Neuchâtel	1
Henri Léonard Jean Baptiste Bertin	1
Étienne Chiron	1
Albrecht Friedrich von Erlach	1
Charles Pictet	1
Henri François Daguesseau	1
Louis Benjamin Annet de Perry	1
marquis de Perry	1
Joseph Nicolas Deschamps de Chaumont	1
Cardinal Girolamo Quirini	1
Marie Antoinette Duchesne	1
Louis Phélypeaux	1
duc de La Vrillière	1
comte Nicolas Louis François de Neufchâteau	1
Louis Mayeul Chaudon	1
