affiliation	count
Voltaire [François Marie Arouet]	345
baron de Montfalcon	17
Charles de Brosses	17
Louis Gaspard Fabry	7
king of Prussia	4
Frederick II	4
Gabrielle Émilie Le Tonnelier de Breteuil	4
marquise Du Châtelet-Lomont	4
Marie Louise Denis	3
Pierre Robert Le Cornier de Cideville	3
Dominique Jacques Barberie	3
marquis de Courteille	3
Jean François Joly de Fleury	3
Pierre Michel Hennin	3
Conseil de régence de Montbéliard	3
duc de Choiseul	3
Étienne François de Choiseul-Stainville	3
Germain Gilles Richard de Ruffey	2
François Thomas Moreau de La Rochette	2
Marie Anne de Vichy-Chamrond	2
marquise Du Deffand	2
Jean Louis Wagnière	2
François de Bussy	2
M. — de Jèze	1
Joseph Vasselier	1
Élie Bertrand	1
Pierre Jacques Claude Dupuits	1
Jeanne Louise Tronchin	1
Jean de Türckheim	1
Joseph Marie Terray	1
Jean Pierre d'Açarq	1
— Malfin	1
countess of Bentinck	1
Charlotte Sophia van Aldenburg	1
Société typographique de Neuchâtel	1
princesse de Conti	1
Louise Elisabeth de Bourbon-Condé	1
marquis d'Argence	1
François Achard Joumard Tison	1
Achille Pierre Dionis Du Séjour	1
Count Boris Mikhailovich Saltykov	1
Charles Bonnet	1
Paul Claude Moultou	1
Sébastien Dupont	1
Charles Marie de La Condamine	1
Denis Diderot	1
Nicolas Fréret	1
Augustin Louis Marie Texada	1
marquis de Ximénès	1
Armand Thomas Hue de Miromesnil	1
François Louis Allamand	1
Pierre Joseph André Roubaud	1
Jacques Le Brigant	1
duc de Praslin	1
César Gabriel de Choiseul	1
Jean Sarasin	1
Henri Louis Lekain	1
Charles Étienne Jordan	1
François Joachim de Pierres	1
cardinal de Bernis	1
Claude Adrien Helvétius	1
Jean Gal	1
Hyacinthe de Pingon	1
comte de Sallenôves	1
Samuel Pechell	1
Antoine Louis de Rouillé	1
comte de Jouy	1
Baron Albrecht von Haller	1
