affiliation	count
Voltaire [François Marie Arouet]	498
Cosimo Alessandro Collini	7
Marie Louise Denis	7
Pierre Michel Hennin	3
countess of Bentinck	2
Charlotte Sophia van Aldenburg	2
Jean Louis Dupan	2
François Tronchin	2
Alexis Piron	2
duchesse d'Anville	1
Marie Louise Nicole Élisabeth de La Rochefoucauld	1
Christophle de Laffrusse de Seynas	1
duc de Choiseul	1
Étienne François de Choiseul-Stainville	1
Philibert Commerson	1
seigneur de Chazelles	1
Charles Léopold de Jaucourt	1
Conseil de régence de Montbéliard	1
conte Giuseppe Gorani	1
Baron Albrecht von Haller	1
king of Prussia	1
Frederick II	1
Claire Cramer	1
François Rigollet	1
Jean Pierre Le Resche	1
[unknown]	1
margravine of Baden-Durlach	1
Caroline Louise von Hessen-Darmstadt	1
Jean François Sellon	1
Sébastien Dupont	1
Jean Le Rond d'Alembert	1
Dominique Vivant Denon	1
marquis de Condorcet	1
Marie Jean Antoine Nicolas de Caritat	1
