affiliation	count
Voltaire [François Marie Arouet]	248
king of Prussia	16
Frederick II	15
Gabrielle Émilie Le Tonnelier de Breteuil	9
marquise Du Châtelet-Lomont	9
Louisa Dorothea von Meiningen	7
duchess of Saxe-Gotha	7
Conseil de régence de Montbéliard	7
Catherine II	6
czarina of Russia	6
Pierre Michel Hennin	6
Jean Le Rond d'Alembert	4
[unknown]	4
Jean Chrysostome de Larcher	3
comte de La Touraille	3
countess of Bentinck	3
Charlotte Sophia van Aldenburg	3
Alexandre Marie François de Paule de Dompierre d'Hornoy	2
seigneur de Correvon	2
Gabriel de Seigneux	2
Frederick William II	2
Louis Joseph de Blet	2
Baron Reinhard von Gemmingen	2
François Lacombe	2
duke of Württemberg	2
Louis Eugene von Württemberg	2
François Joachim de Pierres	2
cardinal de Bernis	2
Louise Suzanne Gallatin	2
Marie Anne de Vichy-Chamrond	2
marquise Du Deffand	2
king of France	2
Louis XVI	2
Jean François Du Bellay Du Resnel	1
Joseph Foncet	1
baron de Montailleur	1
Charles Du Molard-Bert	1
Nicolas Claude Thieriot	1
marquis d'Argenson	1
René Louis de Voyer de Paulmy	1
4th earl of Chesterfield	1
Philip Dormer Stanhope	1
Jacques Mallet Du Pan	1
Elector Palatine	1
Charles Theodore von Sulzbach	1
Cosimo Alessandro Collini	1
Jean François Marmontel	1
Samuel Pechell	1
Paul Claude Moultou	1
François Louis Jeanmaire	1
Baron Heinrich Anton von Beckers	1
count Montmartin	1
Friedrich Samuel Alleman	1
Graf Dietrich von Keyserlingk	1
Antoine Achard	1
Cardinal André Hercule de Fleury	1
Jean Martin de Prades	1
— Duteil	1
conte Francesco Algarotti	1
Claude Cherrier	1
Jean Baptiste Rousseau	1
10th Earl Marischal	1
George Keith	1
Cardinal Giulio Alberoni	1
Louis Élisabeth de La Vergne	1
comte de Tressan	1
Antoine Fournier	1
marquis de La Mothe-Fénelon	1
Gabriel Jacques de Salignac	1
Antoine François Prévost d'Exiles	1
Cardinal Domenico Passionei	1
Anne Antoinette Françoise de Champbonin	1
Élie Bertrand	1
prince of Prussia	1
Henry	1
baron de Grandcour	1
Jean Louis Labat	1
Joseph Du Fresne de Francheville	1
Pierre Robert Le Cornier de Cideville	1
François Fegeli de Seedorff	1
Andrew Mitchell	1
Denis Diderot	1
Henri Lambert d'Herbigny	1
marquis de Thibouville	1
Jean de Türckheim	1
André Lethinois	1
Claude Joseph Dorat	1
duc de La Vallière	1
Louis César de La Baume Le Blanc	1
Jacques Emmanuel Roques de Maumont de La Rochefoucauld	1
Claude Le Pelletier	1
seigneur d'Hermenches	1
David Louis Constant de Rebecque	1
duc de Choiseul	1
Étienne François de Choiseul-Stainville	1
Sir James Rutlidge	1
2nd baronet	1
Greve Gustaf Filip Creutz	1
Alexis Piron	1
conde de Villalonga	1
Roberto José de La Cerda	1
Mathieu Marais	1
landgrave of Hesse-Cassel	1
