affiliation	count
Voltaire [François Marie Arouet]	303
Pierre Michel Hennin	9
Louis Gaspard Fabry	8
king of Prussia	6
Frederick II	6
baron de Montfalcon	5
Charles de Brosses	5
Pierre Jacques Claude Dupuits	4
Marie Louise Denis	4
Dominique Jacques Barberie	4
marquis de Courteille	4
Claude Charles de Brosses	3
comte de Tournay	3
Jean François Joly de Fleury	3
Jean Charles Philibert Trudaine de Montigny	3
Guillaume Joseph Dupleix de Bacquencourt	3
Louis Phélypeaux	2
duc de La Vrillière	2
Jean François Dufour de Villeneuve	2
marquis de Combrande	2
Antoine Jean Amelot de Chaillou	2
duc de Praslin	2
César Gabriel de Choiseul	2
Jean Louis Wagnière	2
Anne Robert Jacques Turgot	1
Greve Carl Fredrik Scheffer	1
Edward Gibbon	1
François Louis Allamand	1
Daniel Charles de Trudaine	1
Alexandre Marie François de Paule de Dompierre d'Hornoy	1
James Francis Edward Keith	1
— Malfin	1
Jean Baptiste François de La Michodière	1
marquis de Morangles	1
René Nicolas Charles Augustin de Maupeou	1
Anne Louise Bénédicte de Bourbon-Condé	1
duchesse Du Maine	1
Jean Pierre Crommelin	1
marquis de Condorcet	1
Marie Jean Antoine Nicolas de Caritat	1
Pierre Robert Le Cornier de Cideville	1
prince de Condé	1
Louis Joseph de Bourbon	1
comte de La Forest-Divonne	1
Gilbert de La Forest	1
Jean Jacques Amelot de Chaillou	1
[unknown]	1
Johann Rudolf Sinner	1
Albrecht Friedrich von Erlach	1
duchesse d'Anville	1
Marie Louise Nicole Élisabeth de La Rochefoucauld	1
Joseph Michel Antoine Servan	1
Dominique Audibert	1
François Bouret d'Erigny	1
Franz Thormann	1
duc de Choiseul	1
Étienne François de Choiseul-Stainville	1
Conseil de régence de Montbéliard	1
Louis Gabriel Taboureau Des Réaux	1
Jean Jacques Rousseau	1
marchese Andrea Alamanni	1
Paul Desforges-Maillard	1
Pierre Lullin	1
évêque de Genève-Annecy	1
Joseph Nicolas Deschamps de Chaumont	1
duc d'Aiguillon	1
Emmanuel Armand de Vignerod Du Plessis de Richelieu	1
Louis Amable Deprez de Crassier	1
