affiliation	count
Voltaire [François Marie Arouet]	666
king of Prussia	13
Frederick II	13
Marie Anne de Vichy-Chamrond	10
marquise Du Deffand	10
François Joachim de Pierres	10
cardinal de Bernis	10
Marie Louise Denis	6
Gabrielle Émilie Le Tonnelier de Breteuil	6
marquise Du Châtelet-Lomont	6
Pierre Michel Hennin	5
Pierre Robert Le Cornier de Cideville	5
Louis François Armand Du Plessis	4
duc de Richelieu	4
Cosimo Alessandro Collini	3
Louisa Dorothea von Meiningen	3
duchess of Saxe-Gotha	3
Jean Chrysostome de Larcher	2
comte de La Touraille	2
comte d'Argental	2
Charles Augustin Feriol	2
Sébastien Dupont	2
Cardinal Girolamo Quirini	2
Joseph Michel Antoine Servan	2
Joseph de Menoux	2
[unknown]	2
Jean Baptiste Claude Delisle de Sales	1
François Louis Defresnay	1
duc de Duras	1
Emmanuel Félicité de Durfort	1
Théodore Tronchin	1
Luc de Clapiers	1
marquis de Vauvenargues	1
count Montmartin	1
Friedrich Samuel Alleman	1
Pierre Gros	1
Charles Emmanuel de Crussol	1
duc d'Uzès	1
François Louis Allamand	1
Jean Robert Tronchin	1
countess of Bentinck	1
Charlotte Sophia van Aldenburg	1
Jean de Vaines	1
Catherine II	1
czarina of Russia	1
Elizabeth Sophia Frederica Wilhelmina von Brandenburg-Bayreuth	1
duchess of Württemberg	1
Jacques de Chazel	1
Chrétien Guillaume de Lamoignon de Malesherbes	1
Claude François Jore	1
Louis Laurent Gaultier	1
François Augustin Toussaint de Beaulieu de Barneville	1
Anne Robert Jacques Turgot	1
— Vallant	1
Jean Henri Samuel Formey	1
Jean Le Rond d'Alembert	1
Antoine Adam	1
Armand Arouet	1
Pierre Joseph Thoulier d'Olivet	1
Alexandre Marie François de Paule de Dompierre d'Hornoy	1
Nicolas Louis Bourgeois	1
D.	1
Paul Claude Moultou	1
Charles Marguerite Jean Baptiste Mercier Dupaty	1
Philippe Antoine de Claris	1
marquis de Florian	1
baroness — von Braittwitz	1
Mme — Rémond d'Hacqueville	1
Claude Étienne Darget	1
duc de La Vallière	1
Louis César de La Baume Le Blanc	1
Jacques Vincent Delacroix	1
marquis Du Plessis-Villette	1
Charles Michel de Villette	1
