affiliation	count
Voltaire [François Marie Arouet]	355
Louise Suzanne Gallatin	22
Charles Henry Chrétien Rosé	6
Conseil de régence de Montbéliard	5
Étienne Jean de Guimard des Rocheretz	5
baron de Montpéroux	5
Gabrielle Émilie Le Tonnelier de Breteuil	4
marquise Du Châtelet-Lomont	4
Laurent Angliviel de La Beaumelle	2
Sébastien Dupont	2
Claude Joseph	2
François Joseph Meiner	2
Charles François Joseph Petitcuenot	1
Jean Frédéric Flachsland	1
Pierre Bruyset-Ponthus	1
king of Prussia	1
Frederick II	1
Étienne Louis Millet	1
Jacques Auguste Rousseau	1
François Arouet	1
Louis Gaspard Fabry	1
— Pioche	1
Aimé de Lamballe	1
Georg Christoph Wächter	1
Anthelme Castin	1
marquis de Luchet	1
Jean Pierre Louis de La Roche Du Maine	1
seigneur de Copponex	1
François Collomb de Battine	1
Jean Charles Girod	1
Mme Claude Bienvenue	1
Mme — Phélizot	1
Société typographique de Neuchâtel	1
Philippe II	1
duc d'Orléans	1
Freiherr Karl Ludwig von Pöllnitz	1
marquis d'Argence	1
François Achard Joumard Tison	1
Jean François de La Harpe	1
