affiliation	count
Voltaire [François Marie Arouet]	84
Gabrielle Émilie Le Tonnelier de Breteuil	9
marquise Du Châtelet-Lomont	9
king of Prussia	8
Frederick II	8
conte Francesco Algarotti	4
marchese Francesco Albergati Capacelli	4
Catherine II	2
czarina of Russia	2
Giovanni Paolo Simone Bianchi	2
David Garrick	2
René Joseph Tournemine	2
Anne Robert Jacques Turgot	1
Paul Claude Moultou	1
Carlo Boglioli	1
Pierre Louis Claude Gin	1
Louise Suzanne Necker	1
Paul Rabaut	1
conte Vincenzo Massini	1
— Söldner	1
Joseph Vasselier	1
Lazzaro Spallanzani	1
seigneur de Correvon	1
Gabriel de Seigneux	1
Jean Sylvain Bailly	1
Baron Albrecht von Haller	1
1st Viscount Bolingbroke	1
Henry St John	1
4th earl of Chesterfield	1
Philip Dormer Stanhope	1
François Tronchin	1
Silvio Saverio Balbis	1
Carlo Alfonso Guadagni	1
Giovanni Marenzi	1
Pierre Robert Le Cornier de Cideville	1
Johann Jacob Difenbach	1
Jean Robert Tronchin	1
Cardinal André Hercule de Fleury	1
Agostino Paradisi	1
Cosimo Alessandro Collini	1
François Louis Allamand	1
George Hardinge	1
Jean Jacques Rousseau	1
Claude Adrien Helvétius	1
César de Missy	1
Jean Jacques Dortous de Mairan	1
Antonio Sambuca	1
Joseph Michel Antoine Servan	1
Jean Jacques Lefranc	1
marquis de Pompignan	1
Henri Jean Baptiste Fabry de Moncault	1
comte d'Autrey	1
Marie Anne de Vichy-Chamrond	1
marquise Du Deffand	1
Alexander Pope	1
Sébastien Dupont	1
Théodore Tronchin	1
Alexis Claude Clairaut	1
Marie Louise Denis	1
Michel Ange André Le Roux Deshauterayes	1
Filippo Pesolli	1
Jean Pierre d'Açarq	1
Jean Lafosse	1
conte Filippo Mazzuchelli	1
Jean François Gamonet	1
