affiliation	count
Voltaire [François Marie Arouet]	475
Frederick II	10
king of Prussia	9
Jean Le Rond d'Alembert	7
marquis de Condorcet	4
Marie Jean Antoine Nicolas de Caritat	4
Étienne Noël Damilaville	4
Pierre Paul Sirven	4
Joseph Audra	3
Jean Baptiste Jacques Élie de Beaumont	3
Louisa Dorothea von Meiningen	3
duchess of Saxe-Gotha	3
[unknown]	3
Jean Pierre Crommelin	2
— Pioche	2
Louis François Armand Du Plessis	2
duc de Richelieu	2
Jean Baptiste Claude Delisle de Sales	2
Honoré Armand Hector de Villars	1
duc de Villars	1
Antoine Joseph de Niquet	1
Marc Duval	1
Louis Gaspard Fabry	1
Jean Baptiste Antoine Suard	1
Gabriel Cramer	1
duc de Choiseul	1
Étienne François de Choiseul-Stainville	1
Pierre Michel Hennin	1
Philippe Antoine de Claris	1
marquis de Florian	1
André Morellet	1
Louis Phélypeaux	1
duc de La Vrillière	1
Jean Lafosse	1
Benjamin Franklin	1
Antoine Adam	1
Balthazar Espeir de Chazel	1
Catherine II	1
czarina of Russia	1
Louis René de Caradeuc de La Chalotais	1
François de Varagne	1
marquis de Bélestat	1
François Alexandre Gaubert Lavaysse	1
marquis d'Argence	1
François Achard Joumard Tison	1
Pierre Robert Le Cornier de Cideville	1
Dominique Audibert	1
landgravine of Hesse-Darmstadt	1
Caroline Henrietta Christiana von Zweibrücken	1
Gustavus III	1
king of Sweden	1
Nicolas Suberbie-Cazalet	1
Conseil de régence de Montbéliard	1
Nicolas Claude Thieriot	1
duc de Bouillon	1
Godefroy Charles Henri de La Tour d'Auvergne	1
Élie Bertrand	1
conte di Fanna	1
Giorgio di Polcenigo	1
François Blanquet de Rouville	1
Pierre Cassen	1
Pierre Firmin de La Croix	1
landgrave of Hesse-Cassel	1
Charles Bonnet	1
