affiliation	count
Voltaire [François Marie Arouet]	443
Jean Le Rond d'Alembert	18
Louisa Dorothea von Meiningen	12
duchess of Saxe-Gotha	12
duc de Choiseul	11
Étienne François de Choiseul-Stainville	11
Gabrielle Émilie Le Tonnelier de Breteuil	8
marquise Du Châtelet-Lomont	8
Nicolas Claude Thieriot	6
Pierre Robert Le Cornier de Cideville	5
1st earl of Tyrconnell	5
Richard Talbot	5
marquis de Saint-Contest	4
François Dominique Barberie	4
Jean Frédéric Phélypeaux	4
comte de Maurepas	4
Laurent Angliviel de La Beaumelle	4
comte d'Argental	3
Charles Augustin Feriol	3
marquis de Valory	3
Guy Louis Henri de Valory	3
Charles Jean François Hénault	3
Graf Franz von Freytag	2
— Martin	2
Franz Varrentrapp	2
Louis Philoxène Brulart	2
marquis de Puisieulx	2
Louis François Armand Du Plessis	2
duc de Richelieu	2
king of Prussia	2
Frederick II	2
Charles de Fieux	2
chevalier de Mouhy	2
Charles Nicolas de La Touche	2
Marie Anne de Vichy-Chamrond	2
marquise Du Deffand	2
Jean Jacques Amelot de Chaillou	1
Andrew Michael Ramsay	1
— de Palme	1
Marie Louise Denis	1
king of Poland	1
Stanislas I	1
Nicolas Charles Joseph Trublet	1
Johann Samuel König	1
François Thomas Marie de Baculard d'Arnaud	1
Baron Friedrich Melchior von Grimm	1
Jean François de La Harpe	1
marquise de Pompadour	1
Jeanne Antoinette Le Normant d'Etioles	1
[unknown]	1
Jacques Abraham Durand d'Aubigny	1
duke of Württemberg	1
Louis Eugene von Württemberg	1
Richard Phelps	1
Cardinal André Hercule de Fleury	1
cardinal de Tencin	1
Pierre Guérin	1
Count Boris Mikhailovich Saltykov	1
marquis d'Adhémar	1
Antoine Honneste de Monteil de Brunier	1
— Le Baillif	1
M. — Vauger	1
marquis de Saint-Séverin	1
Jacques André de Dupille	1
Henri Léonard Jean Baptiste Bertin	1
Amélie Suard	1
Louis Élisabeth de La Vergne	1
comte de Tressan	1
Johann Jacob Difenbach	1
Jean Louis Dupan	1
Catherine II	1
czarina of Russia	1
Jean Bernard Le Blanc	1
Antoine François Prévost d'Exiles	1
marquis de La Mothe-Fénelon	1
Gabriel Jacques de Salignac	1
Jean Ignace de La Ville	1
évêque de Tricomie	1
Joseph Uriot	1
Guglielmo Power	1
