affiliation	count
Voltaire [François Marie Arouet]	387
Jean Le Rond d'Alembert	10
Pierre Robert Le Cornier de Cideville	7
François Joachim de Pierres	5
cardinal de Bernis	5
Marie Louise Denis	4
Ponce Denis Ecouchard Lebrun	4
Pierre Joseph Thoulier d'Olivet	3
Gabrielle Émilie Le Tonnelier de Breteuil	3
marquise Du Châtelet-Lomont	3
[unknown]	2
duc de La Vallière	2
Louis César de La Baume Le Blanc	2
Charles Jean François Hénault	2
baron de Montfalcon	2
Charles de Brosses	2
Marie Anne de Vichy-Chamrond	2
marquise Du Deffand	2
Théodore Tronchin	2
Antoine Louis de Chalamond de La Visclède	2
Luc de Clapiers	1
marquis de Vauvenargues	1
Arthur Murphy	1
Dorothea Celesia	1
Claire Josèphe Hippolyte Léris de Latude	1
marquis Du Plessis-Villette	1
Charles Michel de Villette	1
Marc de Beauvau	1
prince de Beauvau-Craon	1
Louise Suzanne Necker	1
1st Viscount Bolingbroke	1
Henry St John	1
marchese Francesco Albergati Capacelli	1
Saverio Bettinelli	1
Charles Pinot Duclos	1
John Morgan	1
Claude Brossette	1
Rose Victoire de La Beaumelle	1
Académie française	1
Count Kyril Grigorievich Razumovsky	1
Frederick William von Brandenburg	1
margrave of Bayreuth	1
Henri Louis Lekain	1
Augustin Louis Marie Texada	1
marquis de Ximénès	1
— de Saint-Hubert	1
Johann Carl von Fichard	1
— Charlier	1
Anne Robert Jacques Turgot	1
prince de Condé	1
Louis Joseph de Bourbon	1
Louis René Edouard de Rohan-Guéménée	1
cardinal de Rohan	1
Henry Temple	1
2nd Viscount Palmerston	1
Pierre Jean Lecorvaisier	1
Jean François de La Harpe	1
William Pitt	1
1st earl of Chatham	1
Chrétien Guillaume de Lamoignon de Malesherbes	1
duc de Choiseul	1
Étienne François de Choiseul-Stainville	1
Marie Anne Françoise Mouchard	1
comtesse de Beauharnais	1
Everard Titon Du Tillet	1
Greve Carl Fredrik Scheffer	1
Jean Baptiste Leroy	1
Hugues Maret	1
Ch. Du C—	1
Claude Henri Watelet	1
Louis Benjamin Annet de Perry	1
marquis de Perry	1
Jean Robert Tronchin	1
Charles Marie de La Condamine	1
king of Prussia	1
Frederick II	1
Baron Heinrich Anton von Beckers	1
Jean Baptiste Espérance de Laurencin de Chanzé	1
comte de Laurencin	1
Bernardo de Iriarte	1
Count Andrei Petrovich Shuvalov	1
