affiliation	count
Voltaire [François Marie Arouet]	219
Gabrielle Émilie Le Tonnelier de Breteuil	155
marquise Du Châtelet-Lomont	155
Marie Anne de Vichy-Chamrond	35
marquise Du Deffand	35
Frederick II	29
Louisa Dorothea von Meiningen	26
duchess of Saxe-Gotha	26
king of Prussia	22
Elector Palatine	12
Charles Theodore von Sulzbach	12
Catherine II	8
czarina of Russia	8
Marie Louise Denis	8
Louis François Armand Du Plessis	7
duc de Richelieu	7
landgrave of Hesse-Cassel	7
Nicolas Claude Thieriot	6
duke of Württemberg	5
Pierre Michel Hennin	5
Louis Eugene von Württemberg	4
king of Poland	4
comte d'Argental	4
Charles Augustin Feriol	4
Jean Robert Tronchin	4
margravine of Baden-Durlach	4
Caroline Louise von Hessen-Darmstadt	4
Françoise Paule Huguet de Graffigny	4
Sébastien Dupont	4
Pierre Robert Le Cornier de Cideville	4
César de Missy	3
Anne Robert Jacques Turgot	3
Jean Baptiste Rousseau	3
Jean Le Rond d'Alembert	3
Dominique Vivant Denon	3
Cosimo Alessandro Collini	3
seigneur de Correvon	3
Gabriel de Seigneux	3
Honoré Armand Hector de Villars	3
duc de Villars	3
margravine of Bayreuth	3
Sophia Friderika Wilhelmina von Preussen	3
François Joachim de Pierres	3
cardinal de Bernis	3
Louis Phélypeaux	3
duc de La Vrillière	3
Count Ivan Ivanovich Shuvalov	2
Stanislas II	2
Jean Frédéric Phélypeaux	2
comte de Maurepas	2
Louise Honorine Crozat Du Châtel	2
duchesse de Choiseul	2
marquise de Pompadour	2
Jeanne Antoinette Le Normant d'Etioles	2
Louisa Ulrica	2
queen of Sweden	2
Count Andrei Petrovich Shuvalov	2
George Keate	2
Dominique Audibert	2
duc de Praslin	2
César Gabriel de Choiseul	2
prince de Beauvau-Craon	2
Stanislas I	2
duc de La Vallière	2
Louis César de La Baume Le Blanc	2
François Gabriel Le Fournier	2
marquis de Wargemont	2
Baron Heinrich Anton von Beckers	2
Société typographique de Neuchâtel	2
Albrecht Friedrich von Erlach	2
Prince Dimitri Mikhailovich Galitzin	2
François Louis Claude Marin	2
Jean Baptiste de Boyer	2
marquis d'Argens	2
Louise Suzanne Necker	2
marquis d'Argence	1
François Achard Joumard Tison	1
François Grasset	1
Baron Friedrich Melchior von Grimm	1
François de Chennevières	1
Marie Jacques Amand Boïeldieu	1
Pierre Louis Moreau de Maupertuis	1
Ami Camp	1
Louis François Prault	1
Fabre de Charrin	1
marquis d'Argenson	1
René Louis de Voyer de Paulmy	1
marchese Francesco Albergati Capacelli	1
Jakob Heinrich Meister	1
Jean de Türckheim	1
