affiliation	count
Voltaire [François Marie Arouet]	403
comte d'Argental	20
Charles Augustin Feriol	20
Pierre Robert Le Cornier de Cideville	11
Jean Baptiste Nicolas Formont	7
Henri Louis Lekain	6
king of Prussia	5
Frederick II	5
marchese Francesco Albergati Capacelli	5
Alexis Piron	4
Michel Linant	4
baron de Montfalcon	4
Charles de Brosses	4
Louis François Armand Du Plessis	3
duc de Richelieu	3
duc de Choiseul	3
Étienne François de Choiseul-Stainville	3
François Joachim de Pierres	3
cardinal de Bernis	3
Jean Bernard Le Blanc	3
Jean Frédéric Phélypeaux	3
comte de Maurepas	3
Gabrielle Émilie Le Tonnelier de Breteuil	2
marquise Du Châtelet-Lomont	2
Jean François Dufour	2
seigneur de Villevieille	2
Catherine II	2
czarina of Russia	2
Jean François Marmontel	2
Claude Henri Feydeau	2
comte de Marville	2
seigneur de Correvon	2
Gabriel de Seigneux	2
conte Francesco Algarotti	2
François Tronchin	2
Aaron Hill	2
comtesse d'Argental	2
Jeanne Grâce Bosc Du Bouchet	2
Nicolas Claude Thieriot	2
Jean Le Rond d'Alembert	2
François Louis Claude Marin	2
Denis Diderot	2
Henri Lambert d'Herbigny	2
marquis de Thibouville	2
Jean Baptiste Rousseau	2
Pierre Claude Nivelle de La Chaussée	2
Marie Thérèse Geoffrin	1
Pierre Pajot	1
René Joseph Tournemine	1
Jean Paul André de Razins	1
marquis de Saint-Marc	1
Pierre François Guyot Desfontaines	1
— Laméry	1
Marie Louise Denis	1
Michel Lambert	1
Cosimo Alessandro Collini	1
Nicolas René Berryer de Ravenoville	1
Pierre Louis Moreau de Maupertuis	1
Gabriel Cramer	1
Antoine Mouchon	1
Giovanni Paolo Simone Bianchi	1
Claude Brossette	1
Charles Jean François Hénault	1
Jean Jacques Lefranc	1
marquis de Pompignan	1
Marie Françoise Dumesnil	1
Louis François Prault	1
Augustin Louis Marie Texada	1
marquis de Ximénès	1
André Dacier	1
Nicolas Charles Joseph Trublet	1
— Beaupré	1
Marguerite Jeanne de Staal	1
baronne de Staal	1
Claude Étienne Darget	1
Jean Joseph Languet de La Villeneuve de Gergy	1
archevêque de Sens	1
Suzanne Françoise Loys de Bochat	1
François Coindet	1
Pierre Michel Hennin	1
Jacob Vernet	1
Comédie française	1
Louis Benjamin Annet de Perry	1
marquis de Perry	1
Joseph Alphonse Omer de Valbelle-Oraison	1
marquis de Tourves	1
F. Ortolani	1
Charles Palissot de Montenoy	1
Giuseppe Marc'Antonio Baretti	1
François Thomas Marie de Baculard d'Arnaud	1
margravine of Bayreuth	1
Sophia Friderika Wilhelmina von Preussen	1
Claude Philippe Fyot de La Marche	1
Elector Palatine	1
Charles Theodore von Sulzbach	1
L. H.	1
Jean de Vaines	1
Philippe Néricault Destouches	1
Claude Pierre Patu	1
Louise Suzanne Necker	1
Louise Honorine Crozat Du Châtel	1
duchesse de Choiseul	1
L.	1
Henri Philippe Chauvelin	1
Jakob Heinrich Meister	1
Charles Henry Chrétien Rosé	1
Jean Bouhier	1
Pietro Godenti	1
baron de Lubières	1
Charles Benjamin de Langes de Montmirail	1
André Timothée d'Éon de Tissé	1
François Grasset	1
Jean Louis Dupan	1
James Barnewall	1
Viscountess Bolingbroke	1
Marie Claire St John	1
Horace Walpole	1
4th earl of Orford	1
Jean Pierre de Claris	1
chevalier de Florian	1
Joseph Marie Balleydier	1
Carlo Goldoni	1
