affiliation	count
Voltaire [François Marie Arouet]	376
king of Prussia	8
Frederick II	8
Marie Louise Denis	4
10th Earl Marischal	3
George Keith	3
Louis Phélypeaux	3
duc de La Vrillière	3
Gabrielle Émilie Le Tonnelier de Breteuil	3
marquise Du Châtelet-Lomont	3
Graf Franz von Freytag	3
Jean Frédéric Herrenschwand	2
Louis François Armand Du Plessis	2
duc de Richelieu	2
Henri Léonard Jean Baptiste Bertin	2
Basile Polianski	1
Nicolas René Berryer de Ravenoville	1
Louis Bernard de La Taste	1
évêque de Bethléem	1
Jean Martin de Prades	1
Jean Baptiste Simon Sauvé	1
Marie Thérèse Geoffrin	1
king of France	1
Louis XVI	1
Pierre Michel Hennin	1
duc de Choiseul	1
Étienne François de Choiseul-Stainville	1
Jacques Pineau de Viennay	1
baron de Lucé	1
Élie Catherine Fréron	1
Jean Frédéric Phélypeaux	1
comte de Maurepas	1
Pierre Robert Le Cornier de Cideville	1
Count Andrei Petrovich Shuvalov	1
— Dantan	1
Nicolas Claude Thieriot	1
seigneur d'Hermenches	1
David Louis Constant de Rebecque	1
Louis Élisabeth de La Vergne	1
comte de Tressan	1
Ivan Ivanovich Betzky	1
François Augustin Paradis de Moncrif	1
Laurent Angliviel de La Beaumelle	1
Charles Nicolas de La Touche	1
Charlotte Bourette	1
