affiliation	count
Voltaire [François Marie Arouet]	380
Gabrielle Émilie Le Tonnelier de Breteuil	40
marquise Du Châtelet-Lomont	40
king of Prussia	10
Frederick II	10
Jean Baptiste Nicolas Formont	5
Pierre Louis Moreau de Maupertuis	4
Anne Antoinette Françoise de Champbonin	2
James Jurin	2
king of Poland	2
Stanislas I	2
Jean Bernard Le Blanc	2
2nd Baron Hervey	2
John Hervey	2
Jean Poussot	2
Graf Dietrich von Keyserlingk	1
marquise de Langallerie	1
Angélique Constant de Rebecque	1
comte de Buffon	1
Georges Louis Leclerc	1
Jacques François Du Raget de Champbonin	1
marquis Du Châtelet-Lomont	1
Florent Claude Du Châtelet	1
— Demoulin	1
conte Francesco Algarotti	1
Pierre François Guyot Desfontaines	1
comte d'Argenson	1
Marc Pierre de Voyer de Paulmy	1
marquise Du Châtelet	1
Marie de Fleming	1
Claude Henri de Fuzée de Voisenon	1
Louis Phélypeaux	1
duc de La Vrillière	1
Robert Scipio von Lentulus	1
Nicolas Claude Thieriot	1
Charles Jean François Hénault	1
comte d'Argental	1
Charles Augustin Feriol	1
César de Missy	1
Jean Ignace de La Ville	1
évêque de Tricomie	1
Charles Marie de La Condamine	1
Pierre de Lannoy	1
comte de Lannoy	1
Jacques de Champflour	1
Jean Frédéric Phélypeaux	1
comte de Maurepas	1
marquise de Pompadour	1
Jeanne Antoinette Le Normant d'Etioles	1
Sébastien G. Longchamps	1
Michel Linant	1
Jean Jacques Lefranc	1
marquis de Pompignan	1
Graf Franz von Freytag	1
— Cossinio	1
Charles de Fieux	1
chevalier de Mouhy	1
Denis Diderot	1
Pierre Robert Le Cornier de Cideville	1
