affiliation	count
Voltaire [François Marie Arouet]	201
Count Boris Mikhailovich Saltykov	7
Count Ivan Ivanovich Shuvalov	6
king of Prussia	6
Frederick II	6
François Pierre Pictet	3
Prince Aleksandr Romanovich Vorontsov	3
Count Andrei Petrovich Shuvalov	2
Catherine II	2
czarina of Russia	2
Fedor Pavlovich Veselovsky	2
Gabrielle Émilie Le Tonnelier de Breteuil	2
marquise Du Châtelet-Lomont	2
Jean Frédéric Flachsland	2
Gräfin Sabina von Bassewitz	1
Jean François Marmontel	1
Louisa Dorothea von Meiningen	1
duchess of Saxe-Gotha	1
conte Francesco Algarotti	1
Claude Henri Feydeau	1
comte de Marville	1
Sergei Gerasimovich Domashnev	1
Prince Dimitri Mikhailovich Galitzin	1
Graf Franz von Freytag	1
Claude Brossette	1
János Fekete	1
count of Galànta	1
Reichsfürst Wenzel Anton von Kaunitz-Rietberg	1
Louis Charles Auguste Le Tonnelier de Breteuil	1
baron de Preuilly	1
Pierre Robert Le Cornier de Cideville	1
Pieter de La Ruë	1
Antoine Jacques Roustan	1
Élie Bertrand	1
Jean Louis Treitlinger	1
Étienne Noël Damilaville	1
Louise Honorine Crozat Du Châtel	1
duchesse de Choiseul	1
Franz Varrentrapp	1
