affiliation	count
Voltaire [François Marie Arouet]	229
Gabrielle Émilie Le Tonnelier de Breteuil	5
marquise Du Châtelet-Lomont	5
Jean Louis Wagnière	5
Louise Honorine Crozat Du Châtel	4
duchesse de Choiseul	4
Pierre Robert Le Cornier de Cideville	3
king of Prussia	3
Frederick II	3
Stanislas Jean de Boufflers	2
Claude Henri Feydeau	2
comte de Marville	2
Joseph Audra	2
Jean Le Rond d'Alembert	2
[unknown]	2
Louisa Dorothea von Meiningen	2
duchess of Saxe-Gotha	2
Valentin Philippe Bertin de Rocheret	1
James Boswell	1
René Joseph Tournemine	1
Marthe Camp	1
vicomtesse de Bombelles	1
François Tronchin	1
Denis Diderot	1
Marie Jayet	1
Jean Marie Arnoult	1
Jacques de Champflour	1
Jean Huber	1
Marie Anne Ramond	1
Marie Aurore de Saxe	1
comtesse de Horn	1
duke of Württemberg	1
Louis Eugene von Württemberg	1
Jean François de La Harpe	1
baron de Montfalcon	1
Charles de Brosses	1
Catherine II	1
czarina of Russia	1
comtesse d'Argental	1
Jeanne Grâce Bosc Du Bouchet	1
— Muriot	1
Elector Palatine	1
Charles Theodore von Sulzbach	1
— Duchâtelet	1
Jean François Marmontel	1
Hans Stanley	1
duc de Noailles	1
Louis de Noailles	1
Louis Charles de Machault	1
Louise Suzanne Gallatin	1
Société typographique de Neuchâtel	1
Louis François Prault	1
conte Francesco Algarotti	1
Michel Linant	1
— La Fontaine	1
Marc Antoine René de Voyer de Paulmy	1
marquis d'Argenson	1
comte de Bruc	1
Sébastien Armand de Bruc	1
comte d'Argental	1
Charles Augustin Feriol	1
Théodore Tronchin	1
Cosimo Alessandro Collini	1
David Duval	1
baron de Juilly	1
Bernard Joseph de Thomassin	1
comte d'Argenson	1
Marc Pierre de Voyer de Paulmy	1
Nicolas Claude Thieriot	1
Marie Louise Denis	1
Christophe Brounas	1
Philippe Antoine de Claris	1
marquis de Florian	1
Mme — de Vismes	1
Jean Benjamin de Laborde	1
Joseph Vasselier	1
marquis Du Plessis-Villette	1
Charles Michel de Villette	1
René Hérault	1
Pierre Michel Hennin	1
Samuel Auguste André David Tissot	1
Anne Rose Calas	1
— Demoulin	1
Jean Hellot	1
Stanislas II	1
king of Poland	1
Charles Vincent Du Plaquet	1
Charles Palissot de Montenoy	1
Bernard Joseph Saurin	1
duc de Choiseul	1
Étienne François de Choiseul-Stainville	1
