affiliation	count
Voltaire [François Marie Arouet]	109
Étienne Jean de Guimard des Rocheretz	8
baron de Montpéroux	8
Jean Pierre Crommelin	5
duke of Württemberg	4
Charles Eugene von Württemberg	4
François Tronchin	3
Johann Erasmus von Senckenberg	3
Jean Le Rond d'Alembert	2
Pierre Michel Hennin	2
Jean Louis Dupan	2
Gabrielle Émilie Le Tonnelier de Breteuil	2
marquise Du Châtelet-Lomont	2
Conseil de régence de Montbéliard	2
Pierre Lullin	2
marquis de Morangles	2
René Nicolas Charles Augustin de Maupeou	2
— Berger	1
François Henri d'Ivernois	1
Antoine Adam	1
— Du Pin	1
Jean François Joly de Fleury	1
Charles Pictet	1
Jean Peschier	1
Gabriel Henri Gaillard	1
Jean Antoine Silvestre	1
Michel Philippe Bouvart	1
Jean André Deluc	1
Jean Jacques de Chapeaurouge	1
Marie Anne Françoise Mouchard	1
comtesse de Beauharnais	1
Antoine Benoît de Girard de Propiac	1
Jean Baptiste Rousseau	1
Graf Hermann Karl von Keyserlingk	1
Conseil de Berne	1
Charles Palissot de Montenoy	1
Louis Charles César Le Tellier	1
duc d'Estrées	1
Isaac Budé	1
Marie Louise Denis	1
Jean Jallabert	1
Jean Pierre Le Resche	1
Gabriel Cramer	1
Georges Auzière	1
Count Ivan Ivanovich Shuvalov	1
duc de Choiseul	1
Étienne François de Choiseul-Stainville	1
François Louis Allamand	1
Henri Léonard Jean Baptiste Bertin	1
Louis Phélypeaux	1
duc de La Vrillière	1
Louise Honorine Crozat Du Châtel	1
duchesse de Choiseul	1
Pierre de Buisson	1
chevalier de Beauteville	1
Jean Baptiste Nicolas Formont	1
Jean Robert Tronchin	1
— Malfin	1
Pierre de Taulès	1
Jean Jacques Rousseau	1
Jean Philippe Fyot de La Marche	1
Charles Léopold Duvernoy	1
king of Prussia	1
Frederick II	1
François Thomas Moreau de La Rochette	1
