affiliation	count
Voltaire [François Marie Arouet]	912
Pierre Michel Hennin	13
king of Prussia	12
Frederick II	12
Jean Louis Wagnière	5
Paul Claude Moultou	3
Conseil de régence de Montbéliard	3
Marie Louise Denis	3
Marie Anne de Vichy-Chamrond	3
marquise Du Deffand	3
prince de Condé	2
Louis Joseph de Bourbon	2
Dominique Audibert	2
Georges Auzière	2
Société typographique de Neuchâtel	2
Cosimo Alessandro Collini	2
Henri Louis Lekain	2
Count Ivan Ivanovich Shuvalov	2
marquis Du Plessis-Villette	2
Charles Michel de Villette	2
Jean Le Rond d'Alembert	2
Jean François Dufour	2
seigneur de Villevieille	2
Sébastien Dupont	2
Bartholomew Henry Himeli	1
Gabriel Cramer	1
margravine of Baden-Durlach	1
Caroline Louise von Hessen-Darmstadt	1
Charles Bonnet	1
comtesse de Vidampierre	1
Graf Heinrich von Brühl	1
Henri François de Paule Le Fèvre d'Ormesson	1
Louis Élisabeth de La Vergne	1
comte de Tressan	1
Louisa Dorothea von Meiningen	1
duchess of Saxe-Gotha	1
André Morellet	1
François Fargès de Polizy	1
duc de Lorges	1
Louis de Durfort	1
François Louis Allamand	1
Louise Suzanne Necker	1
Emmanuel Friedrich von Fischer	1
Samuel Pechell	1
Jean Baptiste Joseph Damarzit de Sahuguet	1
baron d'Espagnac	1
Jean Gal	1
Louise Honorine Crozat Du Châtel	1
duchesse de Choiseul	1
Luigi Riccoboni	1
Jean François René Tabareau	1
Joseph François Gallier de Saint-Gérand	1
François Tronchin	1
marquis de Limon	1
Geoffroy de Limon	1
Catherine II	1
czarina of Russia	1
Johann Christian Böhm	1
Johann Rudolf Sinner	1
Augustus	1
prince of Saxe-Gotha	1
duc de Saint-Mégrin	1
Paul François de Quélen-Stuer de Caussade	1
Jean François de La Harpe	1
Charles Jean François Hénault	1
Pierre Gros	1
René Hérault	1
inhabitants of Ferney	1
Pierre Antoine de La Place	1
Laurent Angliviel de La Beaumelle	1
Claude Brossette	1
Hugues Maret	1
marquis de Morangles	1
René Nicolas Charles Augustin de Maupeou	1
Jean de Vaines	1
Abraham Trembley	1
Joseph Marie Terray	1
